Word,CGEL,CGEL subcat,UD,Ex,CGEL p.,Notes
',,,PART,the kids' bikes,56,genitive 's and ' are inflectional morphemes
's,N,Pron,PRON,let's,,
's,,,PART,Brett's,56,genitive 's and ' are inflectional morphemes
a,D,,DET,,,
a few,D,,DET + NOUN,a few of them,,
à la,P,,?,,,
a little,D,,DET + ADJ,a little time,,
aboard,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
aboard,P,,ADP,,,"Mostly, intransitive CGEL-P are UD-ADV"
about,P,,ADP,,,
about,P,,ADV,about two thirds,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
about,P,,SCONJ,"about whether, about how",597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
above,Adj,,ADJ,the above example,,
above,P,,ADP,,,
above,P,,ADV,the example above,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
abreast,P,,ADP,,,
abroad,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
absent,Adj,,ADJ,were absent,,
absent,P,,ADP,absent the option to…,,
according,P,,VERB,,,
according,V,,VERB,,,
across,P,,ADP,across the road,,
across,P,,ADV,how it comes across,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
adjacent,P,,ADJ,,,
adjacent,P,,ADJ,,,
adrift,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
aft,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
after,P,,ADP,after lunch,,
after,P,,SCONJ,after she left,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
after,P,,ADV,the day after,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
afterward,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
afterwards,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
against,P,,ADP,,,
against,P,,SCONJ,against her leaving,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
ago,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
aground,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
ahead,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
ain't,V,Aux,VERB + PART,,91,"morpheme, not word"
albeit,P,,SCONJ,albeit over the strong and still-continuing objections of ranchers,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
all,D,,DET,,,
allowing,P,,VERB,,,
allowing,V,,VERB,,,
aloft,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
along,P,,ADP,along the river,,
